"filename", "language", "Rust", "TOML", "Markdown", "CSV", "Properties", "YAML", "Ignore", "XML", "comment", "blank", "total"
"d:\mgr\migration\src\schemas\m20241023_000014_create_sys_user_role.rs", "Rust", 41, 0, 0, 0, 0, 0, 0, 0, 2, 7, 50
"d:\mgr\migration\src\schemas\m20241023_000015_create_event_streams.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 207, 27, 234
"d:\mgr\migration\src\schemas\m20241023_000016_create_order.rs", "Rust", 201, 0, 0, 0, 0, 0, 0, 0, 7, 3, 211
"d:\mgr\migration\src\schemas\m20241023_000017_create_receive_address.rs", "Rust", 100, 0, 0, 0, 0, 0, 0, 0, 3, 5, 108
"d:\mgr\migration\src\schemas\m20241023_000018_create_cart_item.rs", "Rust", 93, 0, 0, 0, 0, 0, 0, 0, 3, 3, 99
"d:\mgr\migration\src\schemas\m20241023_000019_create_product.rs", "Rust", 481, 0, 0, 0, 0, 0, 0, 0, 24, 13, 518
"d:\mgr\migration\src\schemas\mod.rs", "Rust", 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"d:\mgr\rustfmt.toml", "TOML", 0, 27, 0, 0, 0, 0, 0, 0, 21, 3, 51
"d:\mgr\sea-orm-adapter\.rustfmt.toml", "TOML", 0, 11, 0, 0, 0, 0, 0, 0, 2, 1, 14
"d:\mgr\sea-orm-adapter\CHANGELOG.md", "Markdown", 0, 0, 25, 0, 0, 0, 0, 0, 0, 17, 42
"d:\mgr\sea-orm-adapter\Cargo.toml", "TOML", 0, 40, 0, 0, 0, 0, 0, 0, 6, 7, 53
"d:\mgr\sea-orm-adapter\README.md", "Markdown", 0, 0, 24, 0, 0, 0, 0, 0, 0, 10, 34
"d:\mgr\sea-orm-adapter\examples\rbac_with_domains_model.conf", "Properties", 0, 0, 0, 0, 10, 0, 0, 0, 0, 4, 14
"d:\mgr\sea-orm-adapter\examples\rbac_with_domains_policy.csv", "CSV", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"d:\mgr\sea-orm-adapter\src\action.rs", "Rust", 220, 0, 0, 0, 0, 0, 0, 0, 0, 24, 244
"d:\mgr\sea-orm-adapter\src\adapter.rs", "Rust", 427, 0, 0, 0, 0, 0, 0, 0, 14, 67, 508
"d:\mgr\sea-orm-adapter\src\entity.rs", "Rust", 17, 0, 0, 0, 0, 0, 0, 0, 1, 5, 23
"d:\mgr\sea-orm-adapter\src\lib.rs", "Rust", 7, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\mgr\sea-orm-adapter\src\migration.rs", "Rust", 59, 0, 0, 0, 0, 0, 0, 0, 2, 6, 67
"d:\mgr\server\api\Cargo.toml", "TOML", 0, 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\mgr\server\api\src\admin\mod.rs", "Rust", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"d:\mgr\server\api\src\admin\sys_access_key_api.rs", "Rust", 26, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31
"d:\mgr\server\api\src\admin\sys_authentication_api.rs", "Rust", 89, 0, 0, 0, 0, 0, 0, 0, 6, 15, 110
"d:\mgr\server\api\src\admin\sys_domain_api.rs", "Rust", 38, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"d:\mgr\server\api\src\admin\sys_endpoint_api.rs", "Rust", 45, 0, 0, 0, 0, 0, 0, 0, 0, 9, 54
"d:\mgr\server\api\src\admin\sys_login_log_api.rs", "Rust", 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"d:\mgr\server\api\src\admin\sys_menu_api.rs", "Rust", 61, 0, 0, 0, 0, 0, 0, 0, 0, 10, 71
"d:\mgr\server\api\src\admin\sys_operation_log_api.rs", "Rust", 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"d:\mgr\server\api\src\admin\sys_organization_api.rs", "Rust", 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"d:\mgr\server\api\src\admin\sys_role_api.rs", "Rust", 41, 0, 0, 0, 0, 0, 0, 0, 0, 9, 50
"d:\mgr\server\api\src\admin\sys_sandbox_api.rs", "Rust", 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\mgr\server\api\src\admin\sys_user_api.rs", "Rust", 75, 0, 0, 0, 0, 0, 0, 0, 0, 12, 87
"d:\mgr\server\api\src\lib.rs", "Rust", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\mgr\server\bin\Cargo.toml", "TOML", 0, 30, 0, 0, 0, 0, 0, 0, 1, 4, 35
"d:\mgr\server\bin\src\admin.rs", "Rust", 36, 0, 0, 0, 0, 0, 0, 0, 13, 6, 55
"d:\mgr\server\bin\src\auth.rs", "Rust", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\mgr\server\bin\src\cart.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\mgr\server\bin\src\order.rs", "Rust", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
